"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"NLRC4",1.45519645303838,0,0.48721455803887,0,0.57689169415294,0.001,2.11759671693548,0,0.662731442160693,0.001,13.5775838878873,0,7.12310386928225e-05,0.69,0.00225139352003196,0.632,0,0.038,0,0.03,0.0650400606174022,0.034,0.0832340513478523,0,1.80016249739431,0.097
"TRGC2",1.14397082295572,0.901,1.1366362007682,0.901,0.999587135013156,0.888,1.30866924377398,0.901,21.1340241209444,0.888,0.0885047309627539,0.901,8.25963145175756e-05,0.595,-1.97368421052632e-05,0.534,0,0.021,0,0.016,0.0489115235456372,0.029,0.132001189343232,0.911,2.53105189453139,0.156
"COA7",0.868940716330462,0,3.55680586512215,0,0.371098964521953,0,0.755057968496902,0,11.9982164090369,0,27.2363711511702,0,6.31239419360597e-05,0.632,0.000292929292929293,0.272,0,0.048,0,0.035,0.0485921888984647,0.039,0.433482657785952,0.001,0.386937291105611,0.32
"ZFYVE21",3.73441181263805,0.001,3.73349323694036,0,0.999936270387337,0.002,13.9458315863706,0.001,0.2448615593681,0.002,0.752304257756179,0,0.000135388370248795,0.576,0.000313131313131313,0.133,0,0.032,0,0.025,0.0475235687682176,0.044,0.120509960625229,0.003,2.67735099677801,0.358
"CYLD",3.56169578165874,0.001,0.866468025327268,0.001,0.859313552462729,0,12.6856768410856,0.001,14.9220315950399,0,25.5174524311314,0.001,2.6374993518432e-06,0.319,0,0.292,0,0.044,0,0.034,0.0429848285113195,0.044,0.354067850155784,0.001,1.91316071743647,0.001
"KIF21B",0.181881420315011,0.002,0.126021498109403,0.002,0.415448797092374,0.002,0.0330808510558035,0.002,2.20375403431289,0.002,17.8466858746689,0.002,2.77249521572622e-06,0.524,-0.000117647058823529,0.258,0,0.075,0,0.051,0.041840410430866,0.056,0.366456080347263,0.002,0.283717231135537,0.009
"UTRN",4.28003447806585,0,0.181108718569343,0,0.999662639120221,0,18.3186951334324,0,0.312128418549346,0,32.1585991432622,0,3.06261358599513e-05,0.521,0.000574000878348704,0.075,0,0.041,0,0.03,0.0413662887298916,0.03,0.065050275894561,0,4.5746320913375,0.002
"TRGV9",0.126663533554332,0.558,4.27585451794601,0.562,0.999913501707914,0.466,0.0160436507324611,0.558,12.3322575165619,0.466,0.444947468818772,0.545,5.84274421613943e-06,0.965,-0.000111111111111111,0.25,0,0.028,0,0.018,0.0401651226413134,0.026,0.189844400428642,0.522,2.46679774225193,0.841
"GTF2H2B",5.15741077325426,0,5.89354455316943,0,0.776076359768748,0,26.5988858840791,0,14.5543570579242,0,13.7158170590542,0,8.26675780424588e-05,0.626,0.000822795625427204,0.107,0,0.041,0,0.029,0.0326072223975904,0.04,0.35531536084037,0,1.53026539928308,0.035
"C21orf91-OT1",5.93065940496146,0.085,5.12899358079279,0.082,0.986527106736722,0.05,35.1727209776578,0.085,1.51070154577883,0.05,13.5856206341787,0.082,0.000128576243434538,0.894,0.000360060229625447,0.125,0,0.097,0,0.067,0.0225813891962892,0.125,0.0870404582937978,0.086,2.27869129032787,0.732
"TRAPPC12",1.51494133810079,0,1.51046044265253,0,0.841115162956732,0,2.29504725788661,0,2.01826057414643,0,0.701739106804681,0,0.000117350863940096,0.367,-0.000125,0.124,0,0.02,0,0.013,0.01459480957008,0.025,0.37074103814013,0,2.7818230780539,0
"ARHGAP1",5.8518581506866,0,3.47298775072478,0,0.999829549118254,0,34.2442438157572,0,6.04280618311534,0,0.632962494479118,0,7.46239265732542e-07,0.821,-1.76470588235294e-05,0.36,0,0.035,0,0.025,0.0115547353078105,0.062,0.0951709960946922,0,0.221644319024962,0.195
"XRCC5",3.48404826008921,0.008,5.85648801934862,0.008,0.737331446830509,0.002,12.1385922786307,0.008,13.3618990997112,0.002,17.1707827298191,0.004,6.1825188440881e-07,0.944,-9.52380952380952e-05,0.51,0,0.029,0,0.026,0,0.023,0.265078104450679,0.018,1.94605588885733,0.411
"CD207",1.25057566956959,0.056,1.24550963393767,0.061,0.558233754644009,0.167,1.56393950531944,0.056,1.28444029216919,0.167,11.9383729602562,0.048,1.24767491130327e-05,0.417,-0.000321637426900585,0.023,0,0.045,0,0.032,0,0.056,0.180273643298432,0.069,1.7161078711228,0.089
"TIPRL",5.41914592888745,0.002,5.39500829495404,0.002,0.999941019862335,0.001,29.3671425985774,0.002,0.611771700356718,0.001,28.1815629752769,0.002,3.33390349358136e-05,0.618,-9.52380952380952e-05,0.152,0,0.067,0,0.052,0,0.049,0.120992607914253,0.004,3.76593383459108,0.053
"DUSP4",0.210332609069638,0.007,0.773387161614511,0.007,0.999303988144987,0.006,0.0442398064380433,0.007,11.0236113470358,0.006,1.6493248092039,0.007,0.000108323615689376,0.616,0,0.631,0,0.019,0,0.014,0,0.021,0.483662765943478,0.006,1.25545187525557,0.43
"ATP2A3",0.763957581554395,0.001,0.209812464568143,0.001,0.119585813011156,0.002,0.583631186414433,0.001,11.0236113470358,0.002,0.0345634139777808,0.001,1.58381396919342e-05,0.453,0.000281526657485737,0.715,0,0.032,0,0.027,0,0.015,0.275620293525194,0.002,1.99774445153854,0.032
"HAUS1",3.50646080421735,0,0.760316710502354,0,0.0441992769536868,0,12.2952673715126,0,0.0254798709019875,0,0.013585914191108,0,4.85299250255777e-06,0.642,-0.000105263157894737,0.129,0,0.048,0,0.039,0,0.05,0.196222971111242,0,2.3448982643301,0.069
"MEIS3P1",3.72343183282165,0.075,3.51057781764684,0.075,0.999997089700158,0.146,13.8639446136696,0.075,0.00407677934431796,0.146,0.427621371964993,0.063,3.50782559949737e-05,0.842,-0.000261904761904762,0.722,0,0.079,0,0.063,0,0.091,0.339925559418821,0.099,3.19856372772816,0.904
"SCOC",0.843708782152894,0,3.72292787017931,0,0.999999721377013,0,0.711844509081909,0,19.691863427892,0,1.24451968803163,0,6.03068893796093e-05,0.653,-9.09090909090909e-05,0,0,0.017,0,0.01,0,0.007,0.20320641999786,0,1.33693808430936,0.168
"ADORA3",0.776219690501876,0.882,0.839580783552195,0.881,0.737331446830509,0.931,0.602517007922835,0.882,23.0850178359096,0.931,0.629583234737551,0.88,0.000124210598741472,0.938,0.000266278344081548,0.463,0,0.081,0,0.064,0,0.076,0.379276141808349,0.883,2.38311319843827,0.372
"ICOSLG",5.11263601731094,0.09,5.10424166393178,0.092,0.999209791260385,0.127,26.1390470455051,0.09,1.28444029216919,0.127,0.0438784552175003,0.078,6.67415036461938e-05,0.904,0,0.6,0,0.075,0,0.056,0,0.094,0.094460861911842,0.123,0.229861831761869,0.924
"RASAL3",4.77862475482835,0.037,4.73616100256783,0.04,0.999104122367825,0.027,22.8352545474583,0.037,10.8126380159674,0.027,1.17088565349223,0.033,0.000139948986116554,0.966,0,0.037,0,0.044,0,0.033,0,0.032,0.0584195241878879,0.071,1.70303909176416,0.526
"UBA3",0.657206587861323,0.001,0.0440436732722514,0.001,0.854919089431272,0.001,0.431920499128322,0.001,10.6037030745711,0.001,13.5397002723527,0,8.10596054317069e-05,0.991,0,0.116,0,0.022,0,0.015,0,0.025,0.0601015774419354,0.007,0.988615399240217,0.698
"IL18R1",0.0440061736068496,0,0.657643800925333,0,0.00631729907820866,0,0.00193654331551257,0,2.15661627314421,0,21.611344351597,0,5.85582193363986e-06,0.571,0,0.119,0,0.052,0,0.044,0,0.032,0.117791462550647,0,1.21001416854571,0.086
"DAD1",3.7567185873955,0.025,3.74009166005298,0.024,0.519562039630028,0.02,14.1129345448828,0.025,0.000254798709019872,0.02,6.4130661264081,0.021,0.000101939884544444,0.703,0.000295603138280484,0.294,0,0.025,0,0.023,0,0.019,0.498883713818491,0.024,0.299953214740381,0.779
"REL",5.56741674323972,0,2.50456012514278,0,0.825163910696468,0,30.9961291929059,0,0.515967385765246,0,13.4382246093887,0,9.31306826970056e-05,0.895,0,0.289,0,0.024,0,0.019,0,0.021,0.421020613512181,0,0.490627849710382,0.458
"TBC1D2B",2.50755233783295,0,5.57334871941346,0,0.999987333667676,0,6.28781872697152,0,1.86264226261254,0,12.087061289406,0,1.66522984489107e-05,0.788,-0.000173913043478261,0.686,0,0.059,0,0.041,0,0.052,0.460267614926985,0.002,0.379644008348919,0.36
"SMG1P5",4.1219608677196,0.017,4.08630480715974,0.018,0.725800736954512,0,16.9905613950117,0.017,1.21309665364362,0,0.00195307217288308,0.017,0.000235071781232443,0.613,-1.19047619047619e-05,0.148,0,0.036,0,0.028,0,0.053,0.133948074741756,0.022,0.0213646805713488,0.222
"DNAJB1",1.05935968588738,0,1.0530585625587,0,0.999303988144987,0,1.1222429440834,0,17.4904025819602,0,12.0699913463744,0,2.07603558959928e-05,0.269,8.69565217391304e-05,0.24,0,0.055,0,0.043,0,0.007,0.335155797727321,0,1.1989794699253,0
"COL4A3BP",3.83361912018437,0.001,3.82749709511968,0.001,0.782120866005174,0,14.6966355586432,0.001,1.55019534567691,0,4.02481313375351,0,1.58493165540002e-06,0.956,-0.000480952380952381,0.248,0,0.017,0,0.013,0,0.007,0.426349845018353,0.003,3.28969080556842,0.703
"CD1E",2.65514481770477,0.062,2.64619102740846,0.064,0.863606586633124,0.06,7.04979400298448,0.062,2.25140139289961,0.06,1.24516777316388,0.061,2.65205823175288e-05,0.689,-0.000117647058823529,0.365,0,0.018,0,0.017,0,0.031,0.00541110586905977,0.058,0.773148365621438,0.2
"TRAF1",3.70996248856781,0,1.11388266645824,0,0.519562039630028,0,13.7638216665803,0,0.515967385765246,0,3.44152318703605,0,1.29496245577644e-05,0.81,0,0.011,0,0.007,0,0.007,0,0.013,0.188507062257954,0,2.09262053809025,0.187
"VSTM1",1.1150795837401,0.162,3.69394146013694,0.16,0.336937389783155,0.091,1.24340247807398,0.162,0.199762187871581,0.091,14.2198148543392,0.141,0.000340622287317236,0.869,0.000850738846263143,0.853,0,0.053,0,0.05,0,0.038,0.0301351312616887,0.217,1.0341089532617,0.757
"PLBD1",1.11262765782559,0,1.11138882594988,0,0.992068905585887,0,1.23794030495844,0,0.367929335824699,0,0.295587990495408,0,2.37193266716238e-06,0.851,-0.000206349206349206,0,0,0.014,0,0.008,0,0.003,0.536487003982001,0,3.8647869467191,0.698
"PQLC3",3.89002396331656,0,3.87809228032469,0,0.447740556408571,0,15.1322864351771,0,6.97900033973161,0,12.5063186623533,0,6.28696749550575e-05,0.466,0.000200501253132832,0.106,0,0.046,0,0.037,0,0.021,0.0848981105524139,0,0.729180368606622,0.001
"SIGLEC7",3.65338344794514,0.002,3.67299028384504,0.002,0.943977975023596,0.002,13.3472106177195,0.002,3.66910140988619,0.002,0.0389594119664679,0.002,0.000150212405534196,0.978,1e-04,0.235,0,0.041,0,0.029,0,0.032,0.237529909742369,0.002,2.52833139982025,0.587
"TES",3.67639091860119,0.005,3.6411389420415,0.005,0.999806421298428,0.002,13.5158501863733,0.005,13.1295226770851,0.002,0.0705074569737151,0.004,3.59690277069902e-05,0.503,0.00394311267298681,0.634,0,0.038,0,0.032,0,0.043,0.118981904308012,0.009,1.2485730506639,0.095
"TTYH2",1.55689001602428,0.109,1.79723188429892,0.108,0.0441992769536868,0.09,2.42390652199606,0.109,0.00407677934431796,0.091,2.41774452782299,0.104,0.000892636442999934,0.907,0.000459683794466403,0.376,0,0.079,0,0.061,0,0.103,0.343132390418204,0.101,1.78064062364149,0.609
"STX7",1.80046005829893,0.001,1.55847333565591,0.001,0.999891714600311,0.001,3.24165642152977,0.001,14.1912688975709,0.001,6.95474939042902,0.001,0.00019872900716878,0.935,0.000222222222222222,0.134,0,0.024,0,0.019,0,0.008,0.502046714124124,0.002,2.23571301542335,0.951
"SOCS1",1.27861191685899,0.027,0.115886327705588,0.027,0.997394258087179,0.01,1.63484843393383,0.027,8.81501613725158,0.01,21.1355145274478,0.024,3.21415440784565e-06,0.674,4e-04,0.599,0,0.053,0,0.041,0,0.057,0.390897725454606,0.043,1.89042892837127,0.556
"CCNYL1",0.116122069139228,0.109,1.27318012445214,0.109,0.910772510946377,0.022,0.0134843349411735,0.109,2.91719041956854,0.022,1.78262199471002,0.098,3.88743350180189e-09,0.555,0,0.142,0,0.061,0,0.048,0,0.039,0.372807986419953,0.11,1.17488822977715,0.25
"CAMP",1.38301376945497,0.007,1.96142802641769,0.007,0.99952851357773,0.003,1.91272708650206,0.007,11.7780703244437,0.003,2.75530074365943,0.006,3.48984422185551e-05,0.611,0.00041535657325131,0.226,0,0.078,0,0.059,0,0.107,0.527733862563082,0.006,1.83803023018297,0.163
"PTPRCAP",1.9595579303772,0.051,1.38913841060717,0.053,0.99977706231562,0.079,3.83986728250419,0.051,0.0430609818243588,0.08,16.1755282513045,0.045,2.54604553352524e-06,0.782,0.000275553012967201,0.187,0,0.086,0,0.069,0,0.086,0.136542693049858,0.039,1.7816497903138,0.518
"GNB4",0.51374387819505,0.029,0.580203769168421,0.031,0.278469020438119,0.012,0.26393277238288,0.029,12.9565780533379,0.014,2.5006574634629,0.028,8.08683963215024e-05,0.987,0,0.591,0,0.035,0,0.031,0,0.04,0.346408039772683,0.036,1.00410981169774,0.802
"STAC3",0.582108748344251,0.879,0.517954553601201,0.879,0.999999194831443,0.896,0.338850594898919,0.879,0.134788517071514,0.896,1.67362283961598,0.879,0.00025747300893292,0.559,0.0136472710917804,0.486,0,0.133,0,0.105,0,0.152,0.352859906657596,0.883,0.55149309601753,0.078
"ASXL1",0.196370640724147,0.029,0.19559338162772,0.029,0.999997596127408,0.056,0.0385614285384113,0.029,0.348819432648208,0.056,34.2875522132257,0.029,5.32589197750002e-05,0.857,-1e-04,0.38,0,0.036,0,0.028,0,0.041,0.0212428269099126,0.027,0.599715061081357,0.745
"ARPC3",0.569164945110477,0.059,0.56710884210779,0.058,0.999999614204688,0.033,0.323948734742604,0.059,21.576609478512,0.033,3.05212148587432,0.053,1.39558007503588e-06,0.82,0,0.386,0,0.052,0,0.036,0,0.043,0.381130575182134,0.083,1.53274833981366,0.431
"ADAM19",4.70118243269736,0.05,4.66141692851963,0.055,0.999462366090855,0.026,22.1011162655023,0.05,20.1191608629183,0.026,13.2339703930786,0.049,0.000148550362878509,0.431,-9.09090909090909e-05,0.501,0,0.036,0,0.029,0,0.032,0.12016255335069,0.063,0.325874296899309,0.05
"CD1C",1.6945792912045,0.321,1.68380744265166,0.322,0.999975571163532,0.32,2.87159897417914,0.321,22.6271445558009,0.32,28.8176000512978,0.313,7.6505721166473e-05,0.931,0.000105263157894737,0.495,0,0.043,0,0.035,0,0.054,0.516050515755679,0.389,0.886958681890931,0.566
"PTBP3",0.260005451608981,0,1.62685524066763,0,0.1445127846082,0.002,0.0676028348663991,0,11.5599626295227,0.002,12.1980218374105,0,4.45422152298105e-05,0.897,-4.84848484848485e-05,0.266,0,0.035,0,0.029,0,0.046,0.0348404739757101,0.002,0.788278102073944,0.287
"ETS1",1.57574301332623,0.063,1.73176349470652,0.067,0.999985249975744,0.035,2.48296604404641,0.063,16.4385935111262,0.036,0.614758756731798,0.061,1.32195485423575e-05,0.936,0.000665035987404408,0.137,0,0.035,0,0.029,0,0.041,0.0694198197732649,0.082,1.88991601444915,0.379
"GPR171",1.62344509987582,0.272,0.25866129867752,0.274,0.999104122367825,0.244,2.63557399231083,0.272,0.0366910140988619,0.244,0.475952130860108,0.268,5.05832340625077e-05,0.795,0.00125118743149434,0.715,0,0.071,0,0.06,0,0.086,0.38570291666093,0.203,0.702155136966692,0.953
"GGT5",6.21102389870291,0.001,1.65401530183837,0.001,0.999999999615482,0.001,38.5768178702586,0.001,10.6037030745711,0.001,5.02211262462135,0.001,1.98578369442448e-05,0.552,9.52380952380952e-05,0.332,0,0.046,0,0.032,0,0.017,0.50998474130035,0.001,4.41573508532381,0.287
"HRH4",0.426904018797987,0.025,2.61265896561192,0.027,0.992068905585887,0.072,0.18224704126587,0.025,17.2243927297435,0.072,0.360185147464259,0.023,3.27454609775363e-07,0.516,0,0.386,0,0.024,0,0.02,0,0.025,0.369294002853807,0.052,1.8834521892073,0.078
"BANK1",1.65907400344518,0.001,5.28937956584262,0.001,0.156924831096646,0.001,2.75252654890762,0.001,31.3914557499575,0.001,0.196944717671436,0.001,6.6681635778072e-05,0.452,-0.000228070175438596,0.016,0,0.071,0,0.058,0,0.08,0.340684701965396,0.003,1.38035839310695,0.022
"THBS1",1.72679712681488,0.285,3.6877893603703,0.284,0.999558714663653,0.341,2.98182831717613,0.285,6.93689485306608,0.341,0.0563255787108014,0.284,0.000236689827647128,0.531,0.000182194616977226,0.814,0,0.069,0,0.055,0,0.088,0.213164844150477,0.322,2.07569805860261,0.053
"IL2RA",1.95276395906036,0.006,6.21771434367545,0.006,0.925026789050926,0.01,3.81328707980511,0.006,0.0206386954306099,0.01,3.00556941633826,0.005,5.27848790485462e-06,0.675,0.000117647058823529,0.818,0,0.083,0,0.055,0,0.07,0.0199187731373721,0.004,0.743566638219477,0.219
