"" "" "" "" "" "" "" "" "foldChange"
"HIF1A" 28.3784312056264 0 17.4758691984463 0 0.0012658715621563 0.508 0 1 NA
"Mar-01" 22.1149955070049 0 52.6244024769405 0 0.000497248379601321 1 0 1 NA
"LSM6" 13.8134289110399 0 50.2252589266591 0 0 0.508 0 1 NA
"ZYG11B" 8.05888101374186 0 47.2995458805134 0 0.000153846153846154 1 0 1 NA
"ZCRB1" 21.4720204051623 0 50.3312805626229 0 0.00125546386290931 1 0 1 NA
"ACAA1" 34.2686807036853 0 20.7723179226713 0 0.00027027027027027 1 0 1 NA
"P2RY10" 24.8318307540562 0 22.3680774800983 0 0.000694672898213418 1 0 1 NA
"SLC35F5" 22.2602180305335 0 19.861546576594 0 0.000194444444444444 1 0 1 NA
"RNF135" 47.7620969707563 0 37.7612827809015 0 0.00047392140023719 1 0 1 NA
"CCR3" 6.8999331289556 0 12.0669031384033 0 0.000357894736842105 1 0 1 NA
"ADAT2" 22.199666769896 1 35.0670868451175 1 0.00087101366114524 1 0 1 NA
"PDIA6" 33.3524358541986 0 66.51033726661 0 5.40540540540541e-05 1 0 1 NA
"LOC286052" 17.5025842708774 1 5.48876892989926 1 5e-05 1 0 1 NA
"CCDC115" 19.1504147869642 0 21.3470619086061 0 0 1 0 1 NA
"SFMBT2" 29.9553908173773 0 56.8146058740645 0 -7.97448165869219e-06 0 0 1 NA
"WNT5A" 30.074856731242 0 37.5534530811517 0.508 0 1 0 1 NA
"FBXO3" 37.5773703974075 0 17.3469439338416 0 0.000691160593792173 1 0 1 NA
"ZFYVE26" 39.353234080463 0 35.7284002131587 0 0.000212325686009897 1 0 1 NA
"ADAM10" 18.8416204681848 0 38.9880171864617 0 0.000673414304993252 1 0 1 NA
"DNM2" 32.4210133578318 0 31.789967477015 0 0 1 0 1 NA
"NFKBIE" 4.30410560234655 0 45.2934907153958 0 -5.26315789473684e-05 1 0 1 NA
"CD300LB" 16.8156187096822 0 12.655718902715 0 0 1 0 1 NA
"SRFBP1" 30.3043091894378 0 54.6638841980109 0 0.000312162162162162 1 0 1 NA
"ANPEP" 8.35574617539079 0 30.9206187035995 0 0 1 0 1 NA
"ZKSCAN8" 2.05469631663191 0 29.7702995146854 0 0.000238961038961039 1 0 1 NA
"GCSH" 3.35772914142802 0 37.6377186308729 0 0.000267647058823529 1 0 1 NA
"LOC541473" 6.37503615352799 0 33.2998208313426 0 0.000181818181818182 1 0 1 NA
"SUCLG2" 14.140484543371 0 43.6842997457315 0 0.000661528822055138 0.508 0 1 NA
"KIT" 15.7406548432675 0 21.3950850810858 0 0.000190816935002982 0.508 0 1 NA
"FCGR3B" 50.584168290665 0 55.0618853642253 0 -1.66553107729579e-06 0 0 1 NA
"BRCC3" 14.5041047774932 0 52.1174957164275 0 0.00146941026106623 1 0 1 NA
"PCCA" 2.26467878490261 0 47.822735982872 0 -0.000117647058823529 0.508 0 1 NA
"KCNJ13" 8.94454940740262 1 18.2335079614824 1 0.000153846153846154 1 0 1 NA
"SPAG5-AS1" 11.6034813314869 0 47.1329906205649 0 0.00107871901432273 1 0 1 NA
"ZNF587B" 12.8833468286278 0.508 19.1793070301584 0.508 0.000157622739018088 1 0 1 NA
"FCER2" 39.1078468169405 0 41.751186690799 0 0 1 0 1 NA
"LENG8" 21.6240499810337 0 20.7603039728174 0 0.0139114588375767 1 0 1 NA
"SAMD9L" 8.49064014918505 0 11.2418341775933 0 0.000263157894736842 0 0 1 NA
"LY96" 18.4962416863546 0 50.3105012054412 0 0 1 0 0.508 NA
"PPP1R14A" 8.51391929337891 0 42.9538317183637 0 -0.000152564102564103 1 0 1 NA
"SYMPK" 17.7722739939724 0 47.6613031984792 0.508 6.03337612323492e-05 1 0 1 NA
"IL3RA" 1.55814112825404 0 9.53165402189016 0 4.5691684716075e-05 1 0 1 NA
"FLVCR1" 8.82305822059898 0 53.6542885150831 0 0.000242424242424242 1 0 1 NA
"MMP10" 5.4921475275334 0 4.99154501438449 0 0 1 0 1 NA
"MMP12" 7.73498476229067 0 55.4931972789116 0 0.00330022667712841 1 0 1 NA
"SIAH2" 35.0514747918387 0 18.6959778940985 0 0.000309782065879627 1 0 1 NA
"FCGR1B" 37.2840361635152 0 65.1747124867707 0 0.000316883116883117 0 0 1 NA
"TLR1" 28.4725545684422 0 56.7091454959334 0 0 0.508 0 1 NA
"IFI16" 28.5345066749844 0 55.6960412650818 0 0.000511948790896159 0 0 1 NA
"NR4A1" 44.5468417813245 0 40.1627187093267 0 0 1 0 1 NA
"GPR42" 6.51044197485146 0 43.2865150529131 0 0.000105263157894737 0.508 0 1 NA
"RNA45S5" 24.6627110019114 0 15.0775843828478 0 0.00215516741061548 1 0 1 NA
"CD1B" 23.5917459390082 0 0.812163847922977 0 5.12820512820513e-05 1 0 1 NA
"RBM47" 14.154654701516 0 13.8942045951122 0 0.00256242172539602 1 0 1 NA
"KMT2A" 4.36330631217756 0 37.4294315925828 0 0 1 0 1 NA
"CD24" 30.3213932664765 0 30.9679838259834 0 0.000526984126984127 1 0 1 NA
"CASP4" 13.1391399442255 0 55.7640660733213 0 0.000302921884317233 0 0 0 NA
"TPSAB1" 7.96317757543853 0 33.7192588752719 0 0.000108108108108108 1 0 1 NA
"DNASE1L3" 28.453801254913 0 47.9207063363923 0 0.000676295704692278 1 0 1 NA
"EPN2-AS1" 13.9060896620711 0 54.0840201955537 0 0.00368191651282947 1 0 1 NA
"GIMAP4" 59.2742866888199 0 35.545233270335 0 0.000122768222768223 1 0 1 NA
"TLR8" 38.2796283412492 0 22.0584360586583 0 -6.55200655200655e-06 1 0 1 NA
"F13A1" 14.0980992498815 1 55.1111375238597 1 5.55555555555556e-05 1 0 1 NA
"PJA2" 4.05051406224748 0 22.9327092193699 0 0 1 0 1 NA
"UGT2B28" 8.06139067654339 0 32.5474329260017 0 0.000490216460804696 1 0 1 NA
"FCGR1A" 33.9521616505807 0 29.4752392249715 0 0.00067384410981972 1 0 1 NA
"S100A8" 30.3187932686649 0 45.9428611145762 0 0.000226470588235294 1 0 1 NA
"RRN3P2" 40.3278831839154 0 41.2528650460876 0 0.000217391304347826 1 0 1 NA
"NFKBID" 14.8599544434573 0 62.9687235660035 0 4.76190476190476e-05 1 0 1 NA
"TRIM22" 6.49316961158616 0 35.3930348503142 0 0 0 0 0 NA
"HSD17B11" 42.2390897107743 0 28.6759688640766 0 0 1 0 1 NA
"UBE2D1" 28.3704409202192 0 58.2024401947378 0 0.000453132832080201 0 0 1 NA
"CD1A" 8.19256334451523 0 27.7216660017715 1 0.00161370912044287 1 0 1 NA
"MNDA" 17.245639059375 0 50.3095578486267 0 0 1 0 1 NA
"DIDO1" 7.87586961979219 0.508 31.4601022291052 0.508 -2e-04 1 0 1 NA
"SLA" 36.3435887957292 0 24.5649316432835 0 0.000160739687055477 1 0 0 NA
"CTNS" 4.05176193401365 0 9.00930591415438 0 0.00466770836654641 1 0 1 NA
"MAPK14" 24.4206092410629 0 51.568571208901 0 0.000912493465125044 0.508 0 1 NA
"NR4A3" 23.1078254634305 0 42.4536732909056 0 0.000111111111111111 1 0 1 NA
"MORC3" 14.333847534664 0 20.5170459217016 0 0 1 0 1 NA
"MSL2" 46.4228746567295 1 24.7122021897215 1 0.00205456478019548 1 0 1 NA
"IFIT3" 27.1892905215681 0 31.778952272294 0 -0.000106349206349206 1 0 1 NA
"PALLD" 18.366390354348 0 49.5912458900063 0 0 1 0 1 NA
"SNX18" 12.0050145337827 0 31.4118406456113 0 0.000153846153846154 1 0 1 NA
"CYSLTR2" 7.9217692457302 0 50.4481898375773 0 -5.40540540540541e-05 1 0 1 NA
"PSMB9" 18.8702640785452 0 28.9577799600984 0 4.76190476190476e-05 1 0 1 NA
"PARP9" 4.91973125242505 0 52.6657917410996 0 0.000157894736842105 0 0 1 NA
"NUB1" 13.5664061571488 0 39.6124420227092 0 0 1 0 1 NA
"SBF2" 39.6796180834935 0 57.3128661434589 0 0.000202631578947368 1 0 1 NA
"CLIC4" 16.4981416637126 0 41.3107883165952 0 0 0.508 0 1 NA
"POLR2J4" 7.95526887631392 0 28.8436893503798 0 0.000474799974799975 1 0 1 NA
"S100A9" 12.6238529125126 0 54.2269843100428 0 5.98290598290598e-05 0 0 1 NA
"TLR4" 34.5455720171431 0 36.5663291588115 0 0 1 0 1 NA
"STARD4" 26.1309693524903 0 18.9355080505273 0 5.88235294117647e-05 1 0 1 NA
"FHL3" 32.038499950183 0 53.5343597039785 0 0.000195238095238095 1 0 1 NA
"TANC2" 8.96169234088548 0 22.5780050026007 0 0 1 0 1 NA
"CTBS" 21.3332479025979 0 48.0005380159214 0 4.87804878048781e-05 1 0 1 NA
"DPH1" 28.6435308566231 0 55.8846047737513 0 0.000290071770334928 1 0 1 NA
"AREG" 20.9276477485087 0 46.0478120780661 0 0 1 0 1 NA
"IFIT2" 10.5854188532296 0 48.8408368421755 0 0 1 0 1 NA
"ARHGEF3" 10.3067796190759 0 68.0053946829568 0 -0.00015 1 0 1 NA
"OLIG2" 30.448824174989 0 61.6617968831518 0 -0.000148018648018648 1 0 1 NA
"ACSL1" 25.2464339213818 0 55.536731526309 0 0 0 0 0.508 NA
"NMI" 26.4437917360024 0 14.3392358569538 0 0.00104382435832665 0 0 1 NA
"DACH1" 39.9196396616143 0 47.5827597092349 0 0.00682985767371384 1 0 1 NA
"CSF1" 3.69191172064761 0 36.2796833725994 0 0.000105336105336105 1 0 1 NA
"WDFY3" 29.634707526259 0 33.0431298381421 0 4.15204678362573e-05 1 0 1 NA
"TLR6" 12.5842956526737 0 15.8124439840519 0 0 1 0 1 NA
"CASP5" 51.9576605097638 0 23.353728130048 0 0.00543742706056573 0.508 0 1 NA
"PNPLA6" 16.3074937945974 0 24.9385704027892 0 0.000406117858749438 1 0 0.508 NA
"CPEB4" 37.7901819688261 0 44.1448225063292 0 0.000114285714285714 1 0 1 NA
"VAV1" 8.55038783656524 0 55.7812763678012 0 0 1 0 1 NA
"CARD16" 7.71450046155354 0 30.3236563625566 0 -0.000209308338720103 0 0 1 NA
"FAM129A" 13.3367834013285 0 51.0076121770355 0 0 1 0 1 NA
"GIMAP2" 12.7917865341894 0 11.8079117329091 0 -4.65116279069767e-05 1 0 1 NA
"HMG20B" 41.1653604001821 0 43.5697811121912 0 0.0135077970019659 1 0 1 NA
"NT5DC1" 43.9622561329419 0 37.1092531148084 0 0.0121790375398655 1 0 1 NA
"ABHD3" 23.5196549823949 0 31.5488418124141 0 0 1 0 1 NA
"S1PR1" 9.23350630586919 0 22.8981360085263 0 0.00049278427536182 1 0 1 NA
"LAP3" 28.7470142560129 0 36.3927575949074 0 2e-04 1 0 1 NA
"LOC100505812" 23.9792259901598 1 22.6958487396804 1 5.26315789473684e-05 1 0 1 NA
"TMLHE" 2.90959606327563 0 10.3610007300118 0 0 1 0 1 NA
"ARL4C" 10.2483526881456 1 12.6120611397598 0 0.00220835986049209 1 0 1 NA
"KRCC1" 23.5828764383578 0 49.0953030254888 0 0 1 0 1 NA
"CREB5" 35.5625959982532 0 46.8912752905337 0 0.000121212121212121 1 0 1 NA
"YES1" 5.47775540303687 0 48.4044665755819 0 6.06212215968314e-05 1 0 1 NA
"RNF149" 15.2107995328573 0 60.2911042026083 0 5.80811225972516e-05 0 0 0 NA
"ZNF395" 18.4480416058456 0 53.6000518186747 0 0.00032022932022932 1 0 1 NA
"SIGLEC5" 7.28742877050164 0 22.4954992578279 0 0.00016984126984127 1 0 1 NA
"ACN9" 3.06896481061158 0 34.8965823897313 0 0 1 0 1 NA
"CLEC4D" 31.5303353814253 0 12.091944436926 0 0.00241835076200401 0 0 0.508 NA
"JARID2-AS1" 23.9215657314805 0 30.6809682678284 0 0.000216216216216216 1 0 1 NA
"PKIB" 30.4615171750425 1 55.7705585982519 1 5.26315789473684e-05 1 0 1 NA
"HERC5" 12.6389813300381 0 42.5046435377288 0 0 1 0 1 NA
"SYNE1" 39.9698807252307 0 56.1629356926717 0 -0.000162162162162162 1 0 1 NA
"CXCL10" 7.89110233983842 0 6.53170979267038 0 0.00367498002657935 1 0 1 NA
"RBM7" 16.7154132454949 0 50.6990675580577 0 0 1 0 1 NA
"AP3M1" 8.09159808286044 0 45.2041919091475 0 0 1 0 1 NA
"IGLC1" 21.3940781691257 0 46.8306501086192 0 0.000216216216216216 1 0 1 NA
"TRIM5" 29.2190350652573 0 36.2224729570066 0 0.000341269841269841 1 0 1 NA
"FAM160B1" 19.9868312210727 0 48.4808274041943 0 0.000108187134502924 1 0 1 NA
"CASP1" 22.2582821975892 0 44.0206318544025 0 0.000368926821558401 1 0 1 NA
"STK3" 13.9634292419607 0 55.6557134011487 0 0 1 0 1 NA
"CDC73" 34.8673271675458 0 59.8078025841867 0 0.000216216216216216 1 0 1 NA
"CR1" 10.8913534686675 0 27.1179793835421 0 0.00131786172748946 1 0 1 NA
"MARCKSL1" 14.6497764947822 0 31.2082277346413 0 0.000759551274239157 1 0 1 NA
"GAPT" 11.517569762777 1 53.5912964436149 0 -7.93650793650794e-06 1 0 1 NA
"CLOCK" 2.68790524774358 0 17.0760522113355 0 0.00554595628022567 1 0 1 NA
"TNFSF10" 35.1671022276126 0 55.7991490322343 0 -4.7008547008547e-05 1 0 1 NA
"CST1" 34.305476710552 0 53.1553442862556 0 0.000104054054054054 1 0 1 NA
"CPPED1" 24.1369896686609 0 25.0325985849305 0 0.000531788472964944 1 0 1 NA
"NDFIP2" 39.1855299758549 0 3.19354055311434 0 0.000165567765567766 1 0 1 NA
"PDCD2" 10.7293824727124 0 40.7130768407005 0 0 1 0 1 NA
"ASAP1-IT1" 5.71639364339532 0 21.0631848812642 0 0 1 0 1 NA
"SPG11" 32.8476253873028 0 34.5830925098675 0 -5.12820512820513e-05 1 0 1 NA
"POC1B" 17.5443447674679 0 24.1657146014905 0 0.000157894736842105 1 0 1 NA
