"","t.test","welch.test","wilcox.test","f.test","kruskal.test","limma","rfe","rf","lasso","elasticnet","boosting","golub","shrinkcat","foldChange"
"FCGR3B",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108846696062679
"BRCC3",0,0,0,0,0,0,0,0,0,0,0,1,0,-3.75218989817215
"PCCA",0,0,0,0,0,0,0,1,0,0,0,0,0,-2.52765677910107
"KCNJ13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.440134314059729
"SPAG5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33761856292676
"ZNF587B",0,0,0,0,0,0,0,0,0,0,0,0,0,9.45727330541603
"FCER2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0833726195382651
"LENG8",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92848146834069
"SAMD9L",0,0,0,0,0,0,0,0,0,0,0,0,0,0.946304839738147
"LY96",0,0,0,0,0,0,0,0,0,0,0,0,0,0.103167831043011
"PPP1R14A",0,0,0,0,0,0,0,0,0,0,0,0,0,3.14833508627966
"SYMPK",0,0,0,0,0,0,0,0,0,0,0,0,0,5.18674758730476
"IL3RA",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25287149336225
"FLVCR1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9925211793721
"MMP10",0,0,0,0,0,0,0,0,0,0,0,0,0,8.55142982100387
"MMP12",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12922605721929
"SIAH2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156682463404071
"FCGR1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.498509632019091
"TLR1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.374342719807137
"IFI16",0,0,0,0,0,0,0,0,0,0,0,0,0,0.992651180994745
"NR4A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.162823765145432
"GPR42",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.79782332045098
"RNA45S5",0,0,0,0,0,0,0,0,0,0,0,0,0,0.595991258061287
"CD1B",0,0,0,0,0,0,0,0,0,0,0,0,0,1.39366143724578
"RBM47",0,0,0,0,0,0,0,0,0,0,0,0,0,0.139007410300847
"KMT2A",0,0,0,0,0,0,0,0,0,0,0,0,0,-13.6881180606039
"CD24",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5787180433385
"CASP4",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.244389749793453
"TPSAB1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.469606270123517
"DNASE1L3",0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5037647149039
"EPN2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86979380132174
"GIMAP4",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256198109257944
"TLR8",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.196666821212859
"F13A1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.812143057328764
"PJA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.916046538940605
"UGT2B28",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96794420330305
"FCGR1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.696978697664567
"S100A8",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253121912783815
"RRN3P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356245579487479
"NFKBID",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338434385321009
"TRIM22",0,0,0,0,0,0,0,0,0,0,0,0,0,0.559996950447504
"HSD17B11",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.530166927249607
"UBE2D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.534387384711845
"CD1A",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106046581492198
"MNDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.398340892586371
"DIDO1",0,0,0,0,0,0,0,0,0,0,0,0,0,9.21854550900746
"SLA",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13904231598746
"CTNS",0,0,0,0,0,0,0,0,0,0,0,0,0,-5.84662623864494
"MAPK14",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04788836296228
"NR4A3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.310574301104813
"MORC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.97590605310939
"MSL2",0,0,0,0,0,0,0,0,0,0,0,0,0,3.36451102596631
"IFIT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376501431769503
"PALLD",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.56935661782727
"SNX18",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134870711886725
"CYSLTR2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.872840295363309
"PSMB9",0,0,0,0,0,0,0,0,0,0,0,0,0,0.263046532484108
"PARP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0.448635123011631
"NUB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668736566389281
"SBF2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148611126728761
"CLIC4",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09945634226063
"POLR2J4",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.15633226202468
"S100A9",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.548031440371573
"TLR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.436715644141076
"STARD4",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296583750775331
"FHL3",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.25911855867287
"TANC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.322527753548975
"CTBS",0,0,0,0,0,0,0,0,0,0,0,0,0,0.38874568997441
"DPH1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.976614785388452
"AREG",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0802783204714002
"IFIT2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.507724072571521
"ARHGEF3",0,0,0,0,0,0,0,0,0,0,0,0,0,3.28748828063942
"OLIG2",0,0,0,0,0,0,0,0,0,0,0,0,0,-51.7157175997999
"ACSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.348084179306275
"NMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239151058004634
"DACH1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48811688078197
"CSF1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.55497337725094
"WDFY3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.755499029213459
"TLR6",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.603064598175872
"CASP5",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.371788942208063
"PNPLA6",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28256685259551
"CPEB4",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.457691244066745
