"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"GPR183",1.10702499953703,0,1.10232365762502,0,0.302071895461658,0,1.22550434959997,0,0.159249193137421,0,1.38204666399636,0,0.000162987358443113,1,0.000372670807453416,1,0,1,0,1,0,1,0.0810776187618986,0,1.25038552765613,1
"FECH",0.627870934455731,0,0.627102119722434,0,0.999982514977246,0.508,0.394221910334311,0,2.86291829454731,0.508,1.64203660090807,0,0.000205590474892513,1,0,1,0,1,0,1,0,1,0.196231322954618,0,2.43704555790974,1
"RFTN1",1.23757263480879,1,3.73568430547345,1,0.907679302756647,0.508,1.53158602642758,1,16.9604212671989,0.508,0.57057330436488,1,4.90700647653409e-06,1,-1e-04,0.508,0,1,0,1,0,1,0.367216897505086,1,0.307610725064645,1
"FCER1A",3.74945581687618,1,1.23372410663139,1,0.678943545485478,1,14.0584189227066,1,1.01129607609988,1,14.81776873948,1,3.87153419705938e-08,1,-1.30434782608696e-05,1,0,1,0,1,0,1,0.0878283671250945,1,0.201593724385538,1
"CCR7",0.711772136030658,0,4.17790475135968,0,0.999684842441363,0,0.506619573629646,0,12.4446237472397,0,0.245403798216263,0,0.000449595242074361,1,0,0,0,1,0,1,0,1,0.0460189380159587,0,0.147048886193338,1
"FAM118A",4.20120462135854,1,0.871636913867953,1,0.709106225877407,1,17.6501202705243,1,0.0206386954306099,1,2.19485215555006,1,0.000129662003506681,1,0,1,0,1,0,1,0.460018884904453,1,0.461340305369451,1,0.387266867567388,1
"GLCCI1",0.874177293894872,1,0.707386087980125,1,0.107076876481888,1,0.764185941161357,1,1.14379140479022,1,0.318243211482039,1,1.9935886555537e-07,1,2.41545893719807e-05,1,0,1,0,1,0.338892318698352,1,0.121357970887037,1,0.387931483005323,1
"LGALS12",3.89043354218482,1,3.88910808821801,1,0.999996800508053,1,15.1354731461567,1,19.5504501443859,1,3.4784348183159,1,0.000301165672685886,1,0.000505952380952381,1,0,1,0,1,0.217395405741914,1,0.0761783674702782,1,0.284940539562475,1
"RUNX3",1.82696331386695,1,3.52701302891558,1,0.927645249813578,0.508,3.3377949502157,1,3.25352471547477,0.508,20.5885107931943,1,1.61140339826439e-06,1,2e-04,1,0,1,0,1,0.215240052307469,1,0.520697784437033,1,1.91361324138545,1
"NDFIP1",0.555289535277941,1,1.83529315018245,1,0.57689169415294,1,0.308346467989181,1,0.662731442160693,1,2.26243956901536,1,2.92653644935723e-06,1,0.000347826086956522,1,0,1,0,1,0.194051709482507,1,0.389922320147946,1,0.104588879048358,1
"RNF146",3.54693396700722,0,4.24370977431825,0,0.999705697023482,0,12.5807405663096,0,15.0456089689146,0,32.216451721755,0,9.32500773311517e-06,1,0.000990789473684211,0,0,1,0,1,0.166515617016413,1,0.0957842219445013,0,3.31161450212453,1
"CTSS",4.25690982267173,0.508,0.551682009827798,0.508,0.999919810040805,0,18.121281238359,0.508,12.5574995753355,0,25.6210661218179,0,0.000363816768877597,1,0.00178500171998624,1,0,1,0,1,0.112954860963211,1,0.0743861747116457,1,0.592369177400017,1
"MMP19",3.95973630980763,1,3.95105549155614,1,0.776076359768748,1,15.6795116432089,1,1.51070154577883,1,12.1681264688328,1,0.000222202349219661,1,0.000298698194762268,1,0,1,0,1,0.0929830209822872,1,0.357658223941584,1,0.590358205920266,1
"LOC101060424",4.17769591333953,1,4.16272616654508,1,0.999999872849167,1,17.4531431443338,1,14.6764056395448,1,14.6106116473345,1,6.22244660158233e-07,1,0.000287666135034556,1,0,1,0,1,0.0892238173951683,1,0.159753640061781,1,0.217893332703592,1
"TLR7",0.489464377953082,0,1.45136575561809,0,0.999998791293183,0,0.239575377284997,0,24.1712247324614,0,16.7993344266525,0,4.82273057632357e-05,1,-0.000165631469979296,1,0,1,0,1,0.0712471352859789,1,0.446828410285865,0,0.993835987692603,1
"NLRC4",1.45519645303838,0,0.48721455803887,0,0.57689169415294,0.508,2.11759671693548,0,0.662731442160693,0.508,13.5775838878873,0,7.12310386928225e-05,1,0.00225139352003196,1,0,1,0,1,0.0650400606174022,1,0.0832340513478523,0,1.80016249739431,1
"TRGC2",1.14397082295572,1,1.1366362007682,1,0.999587135013156,1,1.30866924377398,1,21.1340241209444,1,0.0885047309627539,1,8.25963145175756e-05,1,-1.97368421052632e-05,1,0,1,0,1,0.0489115235456372,1,0.132001189343232,1,2.53105189453139,1
"COA7",0.868940716330462,0,3.55680586512215,0,0.371098964521953,0,0.755057968496902,0,11.9982164090369,0,27.2363711511702,0,6.31239419360597e-05,1,0.000292929292929293,1,0,1,0,1,0.0485921888984647,1,0.433482657785952,0.508,0.386937291105611,1
"ZFYVE21",3.73441181263805,0.508,3.73349323694036,0,0.999936270387337,1,13.9458315863706,0.508,0.2448615593681,1,0.752304257756179,0,0.000135388370248795,1,0.000313131313131313,1,0,1,0,1,0.0475235687682176,1,0.120509960625229,1,2.67735099677801,1
"CYLD",3.56169578165874,0.508,0.866468025327268,0.508,0.859313552462729,0,12.6856768410856,0.508,14.9220315950399,0,25.5174524311314,0.508,2.6374993518432e-06,1,0,1,0,1,0,1,0.0429848285113195,1,0.354067850155784,0.508,1.91316071743647,0.508
"KIF21B",0.181881420315011,1,0.126021498109403,1,0.415448797092374,1,0.0330808510558035,1,2.20375403431289,1,17.8466858746689,1,2.77249521572622e-06,1,-0.000117647058823529,1,0,1,0,1,0.041840410430866,1,0.366456080347263,1,0.283717231135537,1
"UTRN",4.28003447806585,0,0.181108718569343,0,0.999662639120221,0,18.3186951334324,0,0.312128418549346,0,32.1585991432622,0,3.06261358599513e-05,1,0.000574000878348704,1,0,1,0,1,0.0413662887298916,1,0.065050275894561,0,4.5746320913375,1
"TRGV9",0.126663533554332,1,4.27585451794601,1,0.999913501707914,1,0.0160436507324611,1,12.3322575165619,1,0.444947468818772,1,5.84274421613943e-06,1,-0.000111111111111111,1,0,1,0,1,0.0401651226413134,1,0.189844400428642,1,2.46679774225193,1
"GTF2H2B",5.15741077325426,0,5.89354455316943,0,0.776076359768748,0,26.5988858840791,0,14.5543570579242,0,13.7158170590542,0,8.26675780424588e-05,1,0.000822795625427204,1,0,1,0,1,0.0326072223975904,1,0.35531536084037,0,1.53026539928308,1
"C21orf91-OT1",5.93065940496146,1,5.12899358079279,1,0.986527106736722,1,35.1727209776578,1,1.51070154577883,1,13.5856206341787,1,0.000128576243434538,1,0.000360060229625447,1,0,1,0,1,0.0225813891962892,1,0.0870404582937978,1,2.27869129032787,1
"TRAPPC12",1.51494133810079,0,1.51046044265253,0,0.841115162956732,0,2.29504725788661,0,2.01826057414643,0,0.701739106804681,0,0.000117350863940096,1,-0.000125,1,0,1,0,1,0.01459480957008,1,0.37074103814013,0,2.7818230780539,0
"ARHGAP1",5.8518581506866,0,3.47298775072478,0,0.999829549118254,0,34.2442438157572,0,6.04280618311534,0,0.632962494479118,0,7.46239265732542e-07,1,-1.76470588235294e-05,1,0,1,0,1,0.0115547353078105,1,0.0951709960946922,0,0.221644319024962,1
"XRCC5",3.48404826008921,1,5.85648801934862,1,0.737331446830509,1,12.1385922786307,1,13.3618990997112,1,17.1707827298191,1,6.1825188440881e-07,1,-9.52380952380952e-05,1,0,1,0,1,0,1,0.265078104450679,1,1.94605588885733,1
"CD207",1.25057566956959,1,1.24550963393767,1,0.558233754644009,1,1.56393950531944,1,1.28444029216919,1,11.9383729602562,1,1.24767491130327e-05,1,-0.000321637426900585,1,0,1,0,1,0,1,0.180273643298432,1,1.7161078711228,1
"TIPRL",5.41914592888745,1,5.39500829495404,1,0.999941019862335,0.508,29.3671425985774,1,0.611771700356718,0.508,28.1815629752769,1,3.33390349358136e-05,1,-9.52380952380952e-05,1,0,1,0,1,0,1,0.120992607914253,1,3.76593383459108,1
"DUSP4",0.210332609069638,1,0.773387161614511,1,0.999303988144987,1,0.0442398064380433,1,11.0236113470358,1,1.6493248092039,1,0.000108323615689376,1,0,1,0,1,0,1,0,1,0.483662765943478,1,1.25545187525557,1
"ATP2A3",0.763957581554395,0.508,0.209812464568143,0.508,0.119585813011156,1,0.583631186414433,0.508,11.0236113470358,1,0.0345634139777808,0.508,1.58381396919342e-05,1,0.000281526657485737,1,0,1,0,1,0,1,0.275620293525194,1,1.99774445153854,1
"HAUS1",3.50646080421735,0,0.760316710502354,0,0.0441992769536868,0,12.2952673715126,0,0.0254798709019875,0,0.013585914191108,0,4.85299250255777e-06,1,-0.000105263157894737,1,0,1,0,1,0,1,0.196222971111242,0,2.3448982643301,1
"MEIS3P1",3.72343183282165,1,3.51057781764684,1,0.999997089700158,1,13.8639446136696,1,0.00407677934431796,1,0.427621371964993,1,3.50782559949737e-05,1,-0.000261904761904762,1,0,1,0,1,0,1,0.339925559418821,1,3.19856372772816,1
"SCOC",0.843708782152894,0,3.72292787017931,0,0.999999721377013,0,0.711844509081909,0,19.691863427892,0,1.24451968803163,0,6.03068893796093e-05,1,-9.09090909090909e-05,0,0,1,0,1,0,1,0.20320641999786,0,1.33693808430936,1
